"duration","protocol_type","service","flag","src_bytes","dst_bytes","land","wrong_fragment","urgent","hot","num_failed_logins","logged_in","num_compromised","root_shell","su_attempted","num_root","num_file_creations","num_shells","num_access_files","num_outbound_cmds","is_host_login","is_guest_login","count","srv_count","serror_rate","srv_serror_rate","rerror_rate","srv_rerror_rate","same_srv_rate","diff_srv_rate","srv_diff_host_rate","dst_host_count","dst_host_srv_count","dst_host_same_srv_rate","dst_host_diff_srv_rate","dst_host_same_src_port_rate","dst_host_srv_diff_host_rate","dst_host_serror_rate","dst_host_srv_serror_rate","dst_host_rerror_rate","dst_host_srv_rerror_rate","label"
0,"tcp","http","SF",210,627,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,92,1,0,1,0.05,0,0,0,0,"normal."
0,"tcp","http","SF",302,1089,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,6,255,1,0,0.17,0.06,0,0,0,0,"normal."
0,"tcp","http","SF",330,2195,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,64,255,1,0,0.02,0.04,0,0,0,0,"normal."
0,"tcp","http","SF",222,1981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,1,0,0.2,255,255,1,0,0,0,0,0,0,0,"normal."
0,"tcp","http","SF",294,3005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,0,14,255,1,0,0.07,0.01,0,0,0,0,"normal."
0,"tcp","http","SF",214,3404,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,48,255,1,0,0.02,0.05,0,0,0,0,"normal."
0,"tcp","http","SF",208,6571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,1,0,0,13,255,1,0,0.08,0.02,0,0,0,0,"normal."
0,"tcp","http","SF",230,15386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,16,255,1,0,0.06,0.02,0,0,0,0,"normal."
0,"tcp","http","SF",230,4183,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,"normal."
0,"tcp","smtp","SF",1136,280,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,26,17,0.65,0.15,0.04,0,0,0,0,0,"normal."
0,"tcp","smtp","SF",830,329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,54,31,0.57,0.09,0.02,0,0,0,0,0,"normal."
0,"tcp","http","SF",213,1415,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,135,135,1,0,0.01,0,0,0,0,0,"normal."
0,"tcp","http","SF",211,1227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,215,215,1,0,0,0,0,0,0,0,"normal."
0,"tcp","http","SF",318,1140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,1,0,0,30,255,1,0,0.03,0.02,0,0,0,0,"normal."
0,"tcp","http","SF",221,1481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,137,255,1,0,0.01,0.02,0,0,0,0,"normal."
0,"tcp","http","SF",310,1423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,219,255,1,0,0,0.01,0,0,0,0,"normal."
0,"tcp","http","SF",204,5382,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,1,0,0.1,5,255,1,0,0.2,0.01,0,0,0,0,"normal."
0,"tcp","http","SF",244,1718,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0.29,82,255,1,0,0.01,0.04,0.01,0,0,0,"normal."
0,"tcp","http","SF",295,604,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0.07,0.07,0,0,1,0,0,13,255,1,0,0.08,0.04,0,0,0,0,"normal."
0,"tcp","http","SF",247,3105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,52,255,1,0,0.02,0.04,0,0.01,0,0,"normal."
0,"tcp","http","SF",322,1244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,1,0,0.12,16,255,1,0,0.06,0.04,0,0,0,0,"normal."
0,"tcp","http","SF",219,308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,1,0,0.22,21,255,1,0,0.05,0.03,0,0,0,0,"normal."
0,"tcp","http","SF",278,308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,52,255,1,0,0.02,0.02,0,0,0,0,"normal."
0,"tcp","http","SF",189,3736,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,65,255,1,0,0.02,0.05,0,0,0,0,"normal."
0,"tcp","http","SF",214,8720,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,"normal."
0,"tcp","http","SF",216,1035,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,"normal."
0,"tcp","smtp","SF",1347,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,8,7,0.88,0.25,0.12,0,0,0,0,0,"normal."
0,"tcp","smtp","SF",1295,325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,181,1,0,0.5,0.03,0,0,0,0,"normal."
27,"tcp","ftp","SF",1038,3081,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,28,19,0.68,0.07,0.04,0,0,0,0,0,"normal."
0,"tcp","smtp","SF",2073,326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,76,187,0.38,0.03,0.01,0.03,0,0,0,0,"normal."
0,"tcp","smtp","SF",718,493,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,38,182,0.95,0.05,0.03,0.03,0,0,0,0,"normal."
0,"tcp","http","SF",303,2214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0.4,48,146,1,0,0.02,0.01,0,0,0,0,"normal."
0,"tcp","http","SF",310,2089,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,212,1,0,0.5,0.01,0,0,0,0,"normal."
0,"tcp","smtp","SF",1892,328,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,15,10,0.67,0.2,0.07,0,0,0,0,0,"normal."
0,"tcp","smtp","SF",1220,332,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,33,19,0.58,0.15,0.03,0,0,0,0,0,"normal."
0,"udp","domain_u","SF",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0.5,1,0.67,24,23,0.17,0.17,0.17,0.09,0,0,0,0,"normal."
26,"tcp","ftp","SF",704,2077,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,60,27,0.45,0.08,0.02,0,0,0,0,0,"normal."
26,"tcp","ftp","SF",723,2077,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,104,47,0.45,0.06,0.01,0,0,0,0,0,"normal."
0,"tcp","smtp","SF",1038,331,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,1,111,135,0.33,0.05,0.01,0.02,0,0,0,0,"normal."
0,"tcp","http","SF",215,258,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,4,255,1,0,0.25,0.05,0,0,0,0,"normal."
0,"tcp","http","SF",319,654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,71,255,1,0,0.01,0.05,0,0,0,0,"normal."
0,"tcp","http","SF",333,3352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,80,255,1,0,0.01,0.04,0,0,0,0,"normal."
0,"tcp","http","SF",259,414,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,11,255,1,0,0.09,0.05,0,0,0,0,"normal."
